activity_id,beneficiary_id,activity_type,activity_date,staff_id,status
ACT-142979,BEN-518507,cash transfer,2025-12-10,STAFF-6,pending
ACT-590503,BEN-908313,education support,2026-01-12,STAFF-3,pending
ACT-558830,BEN-492860,education support,2026-05-25,STAFF-20,cancelled
ACT-466814,BEN-419602,food assistance,2025-08-06,STAFF-10,completed
ACT-211615,BEN-206180,education support,2026-05-14,STAFF-11,pending
ACT-488667,BEN-647488,food assistance,2025-11-17,STAFF-10,pending
ACT-529039,BEN-536430,food assistance,2026-05-25,STAFF-16,pending
ACT-853087,BEN-961068,health screening,2025-07-08,STAFF-10,cancelled
ACT-146183,BEN-146370,food assistance,2025-06-21,STAFF-11,pending
ACT-694388,BEN-571482,education support,2025-12-21,STAFF-12,completed
ACT-846870,BEN-156914,food assistance,2026-05-17,STAFF-18,completed
ACT-200043,BEN-179067,food assistance,2025-08-31,STAFF-15,pending
ACT-722212,BEN-838478,education support,2025-11-04,STAFF-16,completed
ACT-895664,BEN-327396,health screening,2026-01-20,STAFF-5,cancelled
ACT-614496,BEN-993470,cash transfer,2025-07-18,STAFF-15,cancelled
ACT-990629,BEN-610140,education support,2026-04-24,STAFF-18,completed
ACT-892685,BEN-544369,cash transfer,2025-12-21,STAFF-4,completed
ACT-651210,BEN-708724,food assistance,2026-01-12,STAFF-20,completed
ACT-390850,BEN-310946,education support,2025-12-12,STAFF-11,pending
ACT-978333,BEN-181089,health screening,2025-11-27,STAFF-8,cancelled
ACT-931328,BEN-655148,food assistance,2025-12-03,STAFF-15,pending
ACT-563147,BEN-690277,food assistance,2025-12-21,STAFF-12,completed
ACT-408207,BEN-223406,education support,2026-02-05,STAFF-3,completed
ACT-764870,BEN-913724,food assistance,2026-05-07,STAFF-12,pending
ACT-763822,BEN-436037,food assistance,2025-11-25,STAFF-17,pending
ACT-259807,BEN-982714,education support,2026-03-15,STAFF-15,pending
ACT-985001,BEN-854589,cash transfer,2026-01-25,STAFF-1,pending
ACT-587768,BEN-637134,food assistance,2026-03-06,STAFF-8,cancelled
ACT-552682,BEN-162448,health screening,2025-10-06,STAFF-18,pending
ACT-414601,BEN-177077,education support,2026-05-12,STAFF-6,completed
ACT-808419,BEN-889764,education support,2026-02-11,STAFF-1,cancelled
ACT-816197,BEN-499598,education support,2025-12-17,STAFF-19,pending
ACT-774986,BEN-130838,food assistance,2025-09-27,STAFF-7,pending
ACT-844159,BEN-857669,cash transfer,2026-03-05,STAFF-19,completed
ACT-163253,BEN-888842,food assistance,2026-02-22,STAFF-12,pending
