beneficiary_id,program_id,registration_date,country,age,gender,household_size,vulnerability_score
BEN-415874,PROG-101,2026-04-28,Kenya,94,Male,4,0.3
BEN-403627,PROG-101,2024-06-16,DRC,11,male,7,0.13
BEN-792515,PROG-101,2025-10-31,Ethiopia,29,male,10,0.12
BEN-531000,PROG-102,2024-09-01,DRC,53,F,8,0.63
BEN-751709,PROG-101,2024-07-12,Ethiopia,89,Female,6,0.35
BEN-107763,PROG-102,2025-06-26,South Sudan,13,M,7,0.19
BEN-797943,PROG-103,2025-04-24,DRC,33,,1,
BEN-741209,PROG-105,2024-07-15,Kenya,48,M,9,0.36
BEN-779506,PROG-105,2025-02-21,South Sudan,73,F,12,0.16
BEN-237115,PROG-102,2024-12-13,South Sudan,10,,4,0.88
BEN-336742,PROG-104,2024-06-12,South Sudan,58,female,6,0.25
BEN-941119,PROG-103,2026-01-29,Ethiopia,85,Male,12,0.94
BEN-200658,PROG-101,2026-04-19,DRC,81,F,9,0.76
BEN-127145,PROG-102,2025-05-21,Somalia,48,Male,11,
BEN-640452,PROG-102,2026-04-29,South Sudan,98,,1,0.31
BEN-744444,PROG-101,2025-12-14,South Sudan,51,Male,2,0.29
BEN-756550,PROG-105,2024-12-10,South Sudan,27,female,8,0.46
BEN-692078,PROG-104,2025-08-29,Ethiopia,33,F,4,0.77
BEN-145593,PROG-105,2024-09-26,South Sudan,95,male,7,0.91
BEN-442779,PROG-104,2025-02-22,South Sudan,28,F,9,0.54
BEN-341086,PROG-101,2025-10-16,Kenya,19,female,3,0.81
BEN-426698,PROG-104,2026-05-14,DRC,8,Female,7,0.64
BEN-854589,PROG-104,2026-04-30,DRC,32,male,1,0.71
BEN-683001,PROG-101,2025-11-25,DRC,96,Male,11,0.41
BEN-772874,PROG-103,2025-07-16,Somalia,20,Female,1,0.96
BEN-939953,PROG-103,2025-12-02,DRC,97,F,9,0.92
BEN-578778,PROG-103,2025-02-06,DRC,77,F,3,0.44
BEN-455795,PROG-102,2026-03-27,DRC,99,male,1,0.64
BEN-795049,PROG-104,2026-05-06,Kenya,14,Male,5,0.32
BEN-542846,PROG-102,2024-11-18,DRC,10,M,12,0.54
BEN-821008,PROG-101,2025-04-07,DRC,98,F,3,0.69
BEN-227637,PROG-105,2026-04-30,Ethiopia,33,male,10,0.48
BEN-482053,PROG-102,2024-08-03,DRC,96,female,12,0.28
BEN-593317,PROG-103,2026-03-02,Somalia,85,female,6,0.49
BEN-758221,PROG-105,2025-05-22,Somalia,15,F,4,0.16
BEN-838478,PROG-101,2026-02-13,DRC,70,F,10,0.3
BEN-184266,PROG-101,2025-07-30,Kenya,29,M,1,0.87
BEN-367926,PROG-101,2025-02-23,DRC,30,Male,11,0.54
BEN-327732,PROG-105,2024-07-10,Ethiopia,92,male,10,0.53
BEN-235854,PROG-104,2024-09-17,Somalia,24,M,2,0.69
BEN-731319,PROG-103,2025-05-10,Somalia,52,Female,12,0.15
BEN-141681,PROG-101,2026-01-01,Kenya,51,female,6,0.82
BEN-847776,PROG-101,2025-08-30,Ethiopia,24,F,9,0.5
BEN-690450,PROG-104,2024-06-13,Ethiopia,35,Female,4,
BEN-604150,PROG-101,2025-02-21,Somalia,70,M,1,
BEN-293800,PROG-105,2025-03-16,Kenya,11,,4,
BEN-817443,PROG-104,2024-06-17,Somalia,27,,7,0.91
BEN-588448,PROG-102,2025-07-02,Somalia,0,Female,5,
BEN-778596,PROG-104,2025-10-21,South Sudan,54,female,12,1.0
BEN-982714,PROG-105,2025-10-25,Somalia,19,F,5,0.3
