disbursement_id,beneficiary_id,amount_usd,disbursement_date,payment_method,verified
DISB-356290,BEN-835656,25.97,2026-02-06,Cash in Hand,True
DISB-185538,BEN-955677,100.83,2025-12-28,Mobile Money,True
DISB-843950,BEN-726272,72.1,2025-06-20,Bank Transfer,True
DISB-971171,BEN-569188,123.99,2026-03-31,Cash in Hand,True
DISB-899800,BEN-821008,147.6,2025-06-16,Mobile Money,True
DISB-735479,BEN-293055,93.96,2025-12-06,Voucher,True
DISB-930701,BEN-703245,108.98,2025-11-15,Cash in Hand,True
DISB-843370,BEN-997732,73.47,2026-02-27,Bank Transfer,True
DISB-352885,BEN-134469,132.88,2026-03-10,Cash in Hand,True
DISB-407984,BEN-753870,87.48,2025-08-28,Mobile Money,True
DISB-653128,BEN-315362,64.95,2025-06-21,Voucher,True
DISB-891703,BEN-361335,148.41,2026-02-06,Cash in Hand,True
DISB-989874,BEN-247150,133.02,2026-02-06,Voucher,True
DISB-577816,BEN-853877,26.55,2025-08-14,Voucher,True
DISB-982639,BEN-585190,77.74,2025-11-13,Mobile Money,True
DISB-513154,BEN-823679,147.49,2025-09-28,Mobile Money,True
DISB-643519,BEN-655148,91.38,2025-06-19,Bank Transfer,True
DISB-234356,BEN-777402,107.29,2025-11-23,Bank Transfer,True
DISB-272214,BEN-223084,79.08,2025-08-26,Voucher,True
DISB-618546,BEN-993891,34.82,2025-06-23,Cash in Hand,False
DISB-722900,BEN-522841,145.38,2026-02-01,Bank Transfer,True
DISB-225178,BEN-247932,84.01,2025-07-07,Voucher,True
DISB-573680,BEN-244584,35.7,2026-02-23,Cash in Hand,True
DISB-505964,BEN-258337,63.93,2025-12-05,Mobile Money,True
DISB-823847,BEN-729615,36.02,2025-07-29,Voucher,True
DISB-187354,BEN-726368,1736.21,2026-01-10,Voucher,True
DISB-665996,BEN-569215,121.54,2026-04-20,Cash in Hand,True
DISB-704444,BEN-374164,105.48,2025-08-29,Bank Transfer,True
DISB-189855,BEN-837350,139.07,2026-02-09,Bank Transfer,True
DISB-289174,BEN-852385,78.87,2025-09-18,Voucher,True
DISB-635646,BEN-490694,58.86,2026-01-02,Bank Transfer,True
DISB-472102,BEN-543125,48.25,2025-05-30,Bank Transfer,True
DISB-431630,BEN-145299,147.57,2026-03-17,Cash in Hand,True
DISB-103239,BEN-852525,112.35,2025-11-24,Voucher,True
DISB-992724,BEN-846277,74.27,2025-09-09,Bank Transfer,True
DISB-733573,BEN-797943,87.95,2026-05-18,Cash in Hand,False
DISB-336407,BEN-188961,117.52,2025-07-21,Bank Transfer,True
DISB-566309,BEN-227637,109.78,2025-10-31,Mobile Money,True
DISB-468296,BEN-956234,132.84,2026-03-02,Cash in Hand,True
DISB-816982,BEN-199917,86.42,2025-09-20,Bank Transfer,True
